Area,meanValue,ISO_A3,richness,NAME_LONG,INCOME_GRP,area,GNI,log_GNI,log_Richness,log_forestArea,log_import
Panama,2890.55555555556,PAN,29,Panama,3. Upper middle income,4949237.97731958,9674.16666666667,3.98565845501293,1.47712125471966,6.69453842451745,3.46113154083447
Papua New Guinea,97.5142857142857,PNG,63,Papua New Guinea,4. Lower middle income,37747099.6197492,1701.66666666667,3.23112963387172,1.80617997398389,7.57688359879429,1.9934992128024
Paraguay,722.612903225807,PRY,17,Paraguay,4. Lower middle income,16211505.7824741,4174.58333333333,3.62071715544863,1.25527250510331,7.20982338233167,2.85950630245229
Peru,9415.21875,PER,44,Peru,3. Upper middle income,75814095.5813955,4706.25,3.67276726411014,1.65321251377534,7.87974996418511,3.97387653913173
Philippines,171845.035087719,PHL,35,Philippines,4. Lower middle income,13557817.2334612,2538.33333333333,3.40471971360527,1.55630250076729,7.13218980712661,5.23513951634296
Poland,860701.484375,POL,146,Poland,1. High income: OECD,8134048.40945882,11780.4166666667,4.07119751570778,2.16731733474818,6.9103068061544,5.93485305653694
Portugal,961080.203125,PRT,127,Portugal,1. High income: OECD,1729255.56773118,20132.5,4.30391927903959,2.10720996964787,6.23785943380799,5.98276008338053
Republic of Korea,5475265.828125,KOR,112,Republic of Korea,1. High income: OECD,3510965.5064935,26082.0833333333,4.41635892891196,2.05307844348342,6.54542668645355,6.73840528865528
Republic of Moldova,24020.4838709677,MDA,5,Moldova,4. Lower middle income,304006.828893899,2749.16666666667,3.43935901391038,0.778151250383644,5.48288476782467,4.38059983142111
Romania,377793.492063492,ROU,64,Romania,3. Upper middle income,6950161.71527849,8430.41666666667,3.92590055194683,1.81291335664286,6.84199497229088,5.57725562197155
Russian Federation,257080.545454545,RUS,185,Russian Federation,3. Upper middle income,554718463.595826,8922.91666666667,3.95055550610129,2.26951294421792,8.74407262223112,5.41007090202241
Rwanda,2650.54838709677,RWA,5,Rwanda,5. Low income,557560.818096686,585.833333333333,2.76851477468654,0.778151250383644,5.74629302556757,3.42349955680151
Saudi Arabia,51863.0175438597,SAU,7,Saudi Arabia,2. High income: nonOECD,623.354249549099,22244.5833333333,4.34724379849162,0.903089986991944,2.79543107200677,4.71486615550215
Senegal,18183.746031746,SEN,15,Senegal,4. Lower middle income,936267.719840993,1195,3.07773117965239,1.20411998265592,5.97140051411726,4.25970724007418
Serbia,78016.3157894737,SRB,45,Serbia,3. Upper middle income,2273804.46443457,5769.58333333333,3.76121971707994,1.66275783168157,6.35675330585014,4.89219100419324
Sierra Leone,344.129032258065,SLE,1,Sierra Leone,5. Low income,3374908.25822756,670.416666666667,2.82699211759642,0.301029995663981,6.52826210037272,2.53798149368483
Slovakia,654882.4375,SVK,116,Slovakia,1. High income: OECD,2059737.30550373,15438.3333333333,4.18862854367424,2.06818586174616,6.3138120457598,5.81616400693008
Slovenia,351176.303030303,SVN,162,Slovenia,1. High income: OECD,1111126.88179561,21575.8333333333,4.33398770694684,2.21218760440396,6.04576404558537,5.54552643921804
Solomon Islands,86.3,SLB,7,Solomon Islands,4. Lower middle income,1605437.68351507,1617.08333333333,3.20900088456603,0.903089986991944,6.20559372321951,1.94101424370557
Somalia,1391.3829787234,SOM,2,Somalia,5. Low income,952158.782672214,414.166666666667,2.61822247715286,0.477121254719662,5.97870983379424,3.14375870558346
South Africa,40787.8524590164,ZAF,119,South Africa,3. Upper middle income,7253900.15055593,5884.16666666667,3.76975876648085,2.07918124604762,6.86057163312192,4.61054148718208
South Sudan,4607.5,SSD,2,South Sudan,5. Low income,12930899.458826,974,2.98900461569854,0.477121254719662,7.1116287685527,3.66355959182592
Spain,1574297.4375,ESP,374,Spain,1. High income: OECD,8531490.00207968,27274.5833333333,4.43577404746345,2.57403126772772,6.93102493707484,6.1970870644104
