type,ISO_A3,pestCount,totalRecords,global_type_count,SRR,SRR_scaled
Plants,BGD,0,255346824,1097756,0,-3
Plants,BGR,8,654293480,1097756,0.0396394605828356,-1.39105206517917
Plants,BHS,0,947680,1097756,0,-3
Plants,BIH,0,1515505159,1097756,0,-3
Plants,BLR,19,2008469,1097756,30.6689430849605,1.48671297005127
Plants,BLZ,24,39958118,1097756,1.94722688966981,0.289639533237459
Plants,BOL,18,757042340,1097756,0.0770837221239823,-1.10743949273663
Plants,BRA,840,239723811413,1097756,0.0113600031970345,-1.90798141691272
Plants,BRN,2,23890549,1097756,0.271402727183732,-0.564788548760291
Plants,BTN,11,9169608,1097756,3.8891281763453,0.589963911187504
Plants,BWA,11,2756738,1097756,12.9362242036934,1.11184110459108
Plants,CAF,3,,1097756,,
Plants,CAN,6168,59019619478,1097756,0.33881162378241,-0.468761769498113
Plants,CHE,229,42861789477,1097756,0.0173211022339964,-1.73704840186126
Plants,CHL,159,29961529844,1097756,0.0172045564698792,-1.73981989761609
Plants,CHN,369,696568008784,1097756,0.00171740681893743,-2.56584533913316
Plants,CIV,111,30199991,1097756,11.9158905863472,1.07616295193503
Plants,CMR,75,1388479541,1097756,0.175118536888382,-0.754194931115882
Plants,COD,12,2540186427,1097756,0.0153153172151406,-1.78740447790149
Plants,COG,6,92827,1097756,209.549812635869,2.32128934936261
Plants,COL,153,115710790110,1097756,0.00428674759887109,-2.27681142328775
Plants,CRI,20,15279943167,1097756,0.00424344520241408,-2.28038326631007
Plants,CUB,22,295085888,1097756,0.241704414132073,-0.614922324962796
Plants,CYP,5,273735972,1097756,0.0592172824888775,-1.22027884740703
Plants,CZE,281,15089529393,1097756,0.0603727510449193,-1.21202440894925
Plants,DEU,9095,72572459136,1097756,0.406294745205107,-0.390091193015272
Plants,DNK,101,17751114513,1097756,0.0184461650259925,-1.7111660330152
Plants,DOM,74,167147736,1097756,1.43529629167764,0.157244039187151
Plants,DZA,0,2168294903,1097756,0,-3
Plants,ECU,18,28979666487,1097756,0.00201367539543035,-2.5209035275905
Plants,EGY,5,5142084788,1097756,0.00315239850169726,-2.38170097433509
Plants,ERI,2,,1097756,,
Plants,ESP,8213,68530825004,1097756,0.388531472731508,-0.409457447153344
Plants,EST,0,1458073327,1097756,0,-3
Plants,ETH,91,3762121336,1097756,0.0784185730844022,-1.10007792018245
Plants,FIN,899,2748269304,1097756,1.06050017889957,0.0259200716956959
Plants,FJI,0,54392237,1097756,0,-3
Plants,FRA,701754,60088960246,1097756,37.8617382813844,1.57821201949284
Plants,GAB,131,589946366,1097756,0.719894916667453,-0.142128036858264
Plants,GBR,263,167124575316,1097756,0.00510182753460258,-2.21454007165738
Plants,GEO,2,148369280,1097756,0.0437015004218972,-1.34967789937334
Plants,GHA,25,626495391,1097756,0.129369669866346,-0.884823434231408
Plants,GIN,2,439749,1097756,14.7446842460508,1.16866492998306
Plants,GMB,0,852780,1097756,0,-3
Plants,GNB,1,,1097756,,
Plants,GNQ,6,4048191,1097756,4.80507971524806,0.681790969881374
Plants,GRC,194,18335534189,1097756,0.0343019258839718,-1.45220160118536
Plants,GRL,0,272,1097756,0,-3
Plants,GTM,69,3302509308,1097756,0.0677353504257928,-1.16281984887492
Plants,GUY,4,1671234,1097756,7.75948808188032,0.889889036284145
