id,variable,shap_value,feature_value
12,wc2.1_10m_bio_3,-0.0315461164812118,21.3192329406738
12,population_density,-0.040870401734997,3.87877440452576
12,travel_time_to_cities_12,-0.0339303806403863,140.329711914063
12,GNI,-0.0456427313707748,8087.4658203125
12,FFI2020,-0.0230937149506902,0.055183045566082
12,timberImport,-0.0391601543142526,160933.265625
12,ForestAge_TC010,-0.0146226266439204,80.4751892089844
12,LC_Type1,-0.00533469159955776,5
13,x,0,-72.55
13,y,0,47.45
13,wc2.1_10m_bio_1,-0.151949146457788,1.92776250839233
13,wc2.1_10m_bio_12,0.000418408676400215,1097.92004394531
13,wc2.1_10m_bio_3,-0.022926739381575,24.9520511627197
13,population_density,-0.0795970063946835,0.669177830219269
13,travel_time_to_cities_12,-0.0739548457561704,59.9739723205567
13,GNI,-0.0653683771381533,16164.607421875
13,FFI2020,-0.037211831016558,0.460831344127655
13,timberImport,-0.0479633782915278,4061534.5
13,ForestAge_TC010,-0.0224350289629955,81.7863159179688
13,LC_Type1,-0.0138915892414128,5
14,x,0,46.65
14,y,0,39.95
14,wc2.1_10m_bio_1,-0.0323249050483742,9.24907398223877
14,wc2.1_10m_bio_12,-0.161968766866161,591.599975585938
14,wc2.1_10m_bio_3,-0.0333092895349921,29.5798492431641
14,population_density,-0.0487068535172797,33.2498054504395
14,travel_time_to_cities_12,-0.0507737713585216,33.9298782348633
14,GNI,-0.0224137734232315,1711865.375
14,FFI2020,-0.0166603508839111,0.667268455028534
14,timberImport,-0.0431064888367306,4188.033203125
14,ForestAge_TC010,-0.00731618101520696,78.7296371459961
14,LC_Type1,-0.0166273119647754,8
15,x,0,-150.55
15,y,0,65.05
15,wc2.1_10m_bio_1,-0.0667807072257822,-4.00684356689453
15,wc2.1_10m_bio_12,-0.105969490206628,362.119995117188
15,wc2.1_10m_bio_3,-0.0056602845277227,23.0156211853027
15,population_density,-0.0612477534585655,0.380386978387833
15,travel_time_to_cities_12,-0.0413631063158347,178.534515380859
15,GNI,-0.030448148559272,6364.478515625
15,FFI2020,-0.0162399013471353,0.345772534608841
15,timberImport,-0.0255172035103506,1700351.25
15,ForestAge_TC010,-0.0486877633903178,95.4113159179687
15,LC_Type1,-0.0153788489274278,8
16,x,0,12.45
16,y,0,49.85
16,wc2.1_10m_bio_1,-0.00828592993461472,6.51516532897949
16,wc2.1_10m_bio_12,-0.159151642197687,735.428588867188
16,wc2.1_10m_bio_3,-0.0575591889556818,30.8257331848145
16,population_density,-0.0146790763564716,43.9173431396484
16,travel_time_to_cities_12,-0.0489935069730518,17.466760635376
16,GNI,-0.0198293753090921,1712885.75
16,FFI2020,-0.0109847512152151,0.668791353702545
16,timberImport,-0.0557735545120801,1170881.125
16,ForestAge_TC010,-0.00683139547009986,66.9586944580078
16,LC_Type1,-0.0142825821992529,5
17,x,0,34.85
17,y,0,41.65
17,wc2.1_10m_bio_1,-0.0199445208973866,9.45449638366699
17,wc2.1_10m_bio_12,-0.104573704722106,664.142883300781
17,wc2.1_10m_bio_3,-0.0382012541456753,33.700927734375
17,population_density,-0.0332183954820307,36.2101898193359
17,travel_time_to_cities_12,-0.0198157266382006,20.4046821594238
17,GNI,-0.057074478766408,623784.4375
17,FFI2020,0.00130874856047683,0.755670547485352
17,timberImport,-0.048896947181703,544973.5
17,ForestAge_TC010,-0.0460011412338306,99.6330337524414
17,LC_Type1,-0.0313597584698812,10
18,x,0,103.75
18,y,0,57.15
18,wc2.1_10m_bio_1,-0.0854907750893334,-4.4218430519104
18,wc2.1_10m_bio_12,-0.0963242429203382,415.399993896484
18,wc2.1_10m_bio_3,-0.0171207337307319,23.8483943939209
18,population_density,-0.0398602313017642,3.00677466392517
18,travel_time_to_cities_12,-0.0251947031195235,178.626907348633
18,GNI,-0.0532264102951935,194698.703125
18,FFI2020,-0.0245104771353056,0.131629303097725
18,timberImport,-0.0406599224336528,160933.265625
18,ForestAge_TC010,-0.0126536625560521,84.8388748168945
18,LC_Type1,-0.014181799162141,8
19,x,0,40.35
19,y,0,54.25
19,wc2.1_10m_bio_1,-0.0130782807229234,5.45321273803711
19,wc2.1_10m_bio_12,-0.132597717479885,542.285705566406
19,wc2.1_10m_bio_3,-0.0293927814885462,22.7863903045654
19,population_density,-0.0590949921632707,12.0749635696411
19,travel_time_to_cities_12,-0.025540742965871,36.0755310058594
19,GNI,-0.0338697827798098,259724.59375
19,FFI2020,-0.0406583087637126,0.538168251514435
19,timberImport,-0.056195679553577,160933.265625
19,ForestAge_TC010,-0.0146209073139257,33.0035133361816
19,LC_Type1,-0.0136339931973912,10
20,x,0,43.05
20,y,0,56.25
20,wc2.1_10m_bio_1,-0.0771157673270758,3.84572172164917
20,wc2.1_10m_bio_12,-0.130275377418488,552.142883300781
20,wc2.1_10m_bio_3,-0.0293825858609384,21.0949611663818
20,population_density,-0.000248604739337014,65.7034530639649
20,travel_time_to_cities_12,-0.0137254870853911,15.2723293304443
20,GNI,-0.0196135937857619,1141662.125
20,FFI2020,-0.0363372884156363,0.546988070011139
20,timberImport,-0.0519279285352,160933.265625
20,ForestAge_TC010,-0.0313320071626496,39.7850189208984
20,LC_Type1,-0.0115965794460096,8
21,x,0,-134.45
21,y,0,61.25
21,wc2.1_10m_bio_1,-0.0704805639669758,-2.37141036987305
21,wc2.1_10m_bio_12,-0.0996753386642483,272.600006103516
21,wc2.1_10m_bio_3,-0.0236072383098827,26.6991481781006
21,population_density,-0.0464433770307187,0.00112569576594979
21,travel_time_to_cities_12,-0.0274265128052913,459.201629638672
21,GNI,-0.0597685497641186,33.5715141296387
21,FFI2020,-0.0447998123646343,0.429560095071793
21,timberImport,-0.0268409284257924,4061534.5
21,ForestAge_TC010,-0.045049847225241,126.268295288086
21,LC_Type1,-0.00965306662869761,8
22,x,0,-110.15
22,y,0,54.05
22,wc2.1_10m_bio_1,-0.0941201265091437,1.24065291881561
22,wc2.1_10m_bio_12,-0.0917755783862464,428.359985351563
22,wc2.1_10m_bio_3,-0.0157630958367652,26.3359432220459
22,population_density,-0.0313860789207142,0.533059775829315
22,travel_time_to_cities_12,-0.0488799857505885,92.0637435913086
22,GNI,-0.0524503203735666,15764.224609375
22,FFI2020,-0.0107859628031609,0.680501341819763
22,timberImport,-0.0184887216340564,4061534.5
22,ForestAge_TC010,-0.0367842885654297,89.4042739868164
22,LC_Type1,-0.00928685501502425,8
23,x,0,-141.15
23,y,0,62.75
23,wc2.1_10m_bio_1,-0.0596029134710272,-4.99715614318848
23,wc2.1_10m_bio_12,-0.0475527320023941,342.799987792969
23,wc2.1_10m_bio_3,-0.0213585115466238,23.9650382995605
23,population_density,-0.0601479845862888,0.000732201326172799
23,travel_time_to_cities_12,-0.0193274519241539,318.8603515625
23,GNI,-0.0495827671644523,425.023498535156
23,FFI2020,-0.0215990668606791,0.550074934959412
23,timberImport,-0.0266611051841943,1700351.25
23,ForestAge_TC010,-0.0175618807172254,104.907897949219
23,LC_Type1,-0.015469664034569,8
24,x,0,57.95
24,y,0,61.65
24,wc2.1_10m_bio_1,-0.082596856593174,-1.1230663061142
24,wc2.1_10m_bio_12,-0.0659868272995676,720.714294433594
24,wc2.1_10m_bio_3,-0.00777709059870971,20.8589649200439
24,population_density,-0.0400401845035257,0.352635890245438
24,travel_time_to_cities_12,-0.0280339219354913,912.649353027344
24,GNI,-0.0428309431891565,309971.0625
24,FFI2020,-0.0295977015270892,0.0240616891533136
24,timberImport,-0.0340900046454668,160933.265625
24,ForestAge_TC010,-0.0279573629372581,99.2307281494141
24,LC_Type1,-0.0359684970230436,1
25,x,0,27.45
25,y,0,57.75
25,wc2.1_10m_bio_1,-0.0545092164196508,5.12758016586304
25,wc2.1_10m_bio_12,-0.123446679354653,641.428588867188
25,wc2.1_10m_bio_3,-0.0126346821992047,24.6382846832275
25,population_density,-0.0487327877625677,11.6095628738403
25,travel_time_to_cities_12,-0.029275763012911,38.0645980834961
25,GNI,-0.0702804981175496,45525.86328125
25,FFI2020,-0.0224299941900555,0.575005888938904
25,timberImport,-0.0160056702732487,531150.4375
25,ForestAge_TC010,-0.016155451936492,42.9400253295898
25,LC_Type1,-0.0038036852646912,8
26,x,0,23.65
26,y,0,43.15
26,wc2.1_10m_bio_1,0.0115971605089648,9.88931083679199
26,wc2.1_10m_bio_12,-0.173514456100125,618.914306640625
26,wc2.1_10m_bio_3,-0.0222109177595903,32.9721527099609
26,population_density,-0.0189436570183305,56.8891143798828
26,travel_time_to_cities_12,-0.0446093374263812,12.691948890686
26,GNI,-0.0368725501852768,4909330.5
26,FFI2020,-0.0050676319674573,0.688607633113861
26,timberImport,-0.0378262963391308,160064.828125
26,ForestAge_TC010,-0.021926393729091,41.3997650146484
26,LC_Type1,-0.0187370462396004,12
27,x,0,-123.55
27,y,0,55.75
27,wc2.1_10m_bio_1,-0.0490171905041331,1.12709164619446
27,wc2.1_10m_bio_12,-0.0776780048563223,627.200012207031
27,wc2.1_10m_bio_3,-0.0158879185419736,29.6487808227539
27,population_density,-0.0549144877576985,0.0110993711277843
27,travel_time_to_cities_12,-0.0434118071686313,313.503479003906
27,GNI,-0.071956010089041,294.136962890625
27,FFI2020,-0.00892202416427791,0.366787284612656
27,timberImport,-0.0185963602846765,4061534.5
27,ForestAge_TC010,-0.025965265385623,127.654342651367
27,LC_Type1,-0.0329743516558201,1
28,x,0,54.65
28,y,0,57.65
28,wc2.1_10m_bio_1,-0.0826953999347146,2.1980996131897
28,wc2.1_10m_bio_12,-0.132775572425814,546.257141113281
28,wc2.1_10m_bio_3,-0.0114171656735081,20.2512302398682
28,population_density,-0.0382909692591117,5.99848604202271
28,travel_time_to_cities_12,-0.0416316175583448,46.2241554260254
28,GNI,-0.0108698835712174,2185703.5
28,FFI2020,-0.0443855023210779,0.527559757232666
28,timberImport,-0.0429439439018049,160933.265625
28,ForestAge_TC010,-0.00648619841401705,60.1362113952637
28,LC_Type1,-0.00912460292242941,8
29,x,0,58.45
29,y,0,54.85
29,wc2.1_10m_bio_1,-0.0993876890893583,1.46302771568298
29,wc2.1_10m_bio_12,-0.132070009543068,585.1142578125
29,wc2.1_10m_bio_3,-0.0154015084797728,23.064489364624
29,population_density,-0.0109624997350409,92.698600769043
29,travel_time_to_cities_12,-0.00753695414964777,6.8755669593811
29,GNI,-0.0208491407681857,4554436
29,FFI2020,-0.0716748413574344,0.239487946033478
29,timberImport,-0.0362282806564446,160933.265625
29,ForestAge_TC010,-0.00382758195946709,61.6487083435059
29,LC_Type1,-0.00562983298988935,5
30,x,0,-118.65
30,y,0,48.35
30,wc2.1_10m_bio_1,-0.0259543155439662,5.73165225982666
30,wc2.1_10m_bio_12,-0.0927537222235687,443.359985351563
30,wc2.1_10m_bio_3,-0.0484437438639991,34.9619636535645
30,population_density,-0.0474814953122192,0.0336617417633534
30,travel_time_to_cities_12,-0.0282668775306626,130.442932128906
30,GNI,-0.0779170607491219,2004.57873535156
30,FFI2020,-0.0239672349844928,0.584720551967621
30,timberImport,-0.0185650857035391,1700351.25
30,ForestAge_TC010,-0.0487575284205828,122.572448730469
30,LC_Type1,-0.0164285474164806,1
31,x,0,-117.95
31,y,0,55.95
31,wc2.1_10m_bio_1,-0.105813624706117,1.54066920280457
31,wc2.1_10m_bio_12,-0.119958440874554,447.440002441406
31,wc2.1_10m_bio_3,-0.0381270429221099,27.8685073852539
31,population_density,-0.055388642613116,0.317169189453125
31,travel_time_to_cities_12,-0.0696622534773083,122.450172424316
31,GNI,-0.0634522124434696,10197.162109375
31,FFI2020,-0.0322967986122033,0.52470201253891
31,timberImport,-0.0152464902805436,4061534.5
