ISO_A3,NAME_LONG.x,INCOME_GRP.x,CONTINENT,SUBREGION,Area,meanValue,richness,NAME_LONG.y,INCOME_GRP.y,area,GNI,total_richness,total_records,log10_total_richness,log10_total_records,richness_for_model,log_Richness,log_GNI,log_forestArea,log_import,Residuals,Std_Residuals
CUB,Cuba,3. Upper middle income,North America,Caribbean,Cuba,6604.18,25,Cuba,3. Upper middle income,3153794.37845776,5444.5,25,100,1.41497334797082,2.00432137378264,25,1.41497334797082,3.73603776237858,6.49883351242679,3.81988465721801,-0.0110241274208593,-0.0351122257613229
ZWE,Zimbabwe,5. Low income,Africa,Eastern Africa,Zimbabwe,2818.66666666667,23,Zimbabwe,5. Low income,4073994.98939004,1111.25,23,284,1.38021124171161,2.45484486000851,23,1.38021124171161,3.04620241442008,6.61002059712693,3.45019777023999,0.197218801512733,0.62814867959435
BWA,Botswana,3. Upper middle income,Africa,Southern Africa,Botswana,31610.4375,24,Botswana,3. Upper middle income,1301714.00909081,5773.75,21,179,1.34242268082221,2.25527250510331,21,1.34242268082221,3.76153318753031,6.1145159123988,4.49984424541639,-0.134405933047784,-0.428087528805722
NAM,Namibia,3. Upper middle income,Africa,Southern Africa,Namibia,12399.16,12,Namibia,3. Upper middle income,872304.652761356,4135,11,177,1.07918124604762,2.25042000230889,11,1.07918124604762,3.61658053008589,5.94066868682308,4.09342728892585,-0.240896763741707,-0.767264494572723
SEN,Senegal,4. Lower middle income,Africa,Western Africa,Senegal,18183.746031746,15,Senegal,4. Lower middle income,936267.719840993,1195,13,53,1.14612803567824,1.73239375982297,13,1.14612803567824,3.07773117965239,5.97140051411726,4.25970724007418,-0.0576981427695188,-0.183770573179249
MLI,Mali,5. Low income,Africa,Western Africa,Mali,946.133333333333,9,Mali,5. Low income,1919149.84715745,733.333333333333,10,59,1.04139268515822,1.77815125038364,10,1.04139268515822,2.86589324243111,6.28310911205354,2.97641112140544,0.0718405644823363,0.228814673726626
MRT,Mauritania,5. Low income,Africa,Western Africa,Mauritania,7026.87096774194,3,Mauritania,5. Low income,4101.95269516997,1435,4,33,0.698970004336019,1.53147891704226,4,0.698970004336019,3.15715443990628,3.61309650981481,3.84682377921596,0.0715700252520955,0.227952996954682
BEN,Benin,5. Low income,Africa,Western Africa,Benin,11802.75,58,Benin,5. Low income,1628970.17971197,969.583333333333,59,3844,1.77815125038364,3.58489634413745,59,1.77815125038364,2.98703282942362,6.21191340069723,4.07202000269422,0.582627134146703,1.85568750140926
NER,Niger,5. Low income,Africa,Western Africa,Niger,599.347826086957,15,Niger,5. Low income,109366.593506794,462.5,15,63,1.20411998265592,1.80617997398389,15,1.20411998265592,2.66604973848052,5.03888865612826,2.77840294235354,0.604234709047278,1.92450837213215
NGA,Nigeria,4. Lower middle income,Africa,Western Africa,Nigeria,3876.72340425532,28,Nigeria,4. Lower middle income,11584260.9268965,2376.875,29,236,1.47712125471966,2.3747483460101,29,1.47712125471966,3.37618902091468,7.06386836861479,3.58857682787582,0.073096606133678,0.23281520967327
CMR,Cameroon,4. Lower middle income,Africa,Middle Africa,Cameroon,1344.51612903226,22,Cameroon,4. Lower middle income,24950163.0952043,1327.5,23,112,1.38021124171161,2.05307844348342,23,1.38021124171161,3.1233615587463,7.39707340628836,3.12888890812558,0.0618630414444652,0.197035918994379
TGO,Togo,5. Low income,Africa,Western Africa,Togo,1237.24444444444,31,Togo,5. Low income,999029.670257554,717.5,24,107,1.39794000867204,2.03342375548695,24,1.39794000867204,2.85642677247024,5.99957882127819,3.09280638813639,0.471772777504583,1.5026125551165
GHA,Ghana,4. Lower middle income,Africa,Western Africa,Ghana,12848.4838709677,20,Ghana,4. Lower middle income,6041721.18964178,1342.91666666667,22,177,1.36172783601759,2.25042000230889,22,1.36172783601759,3.12837233990168,6.78116075167552,4.1088856835823,-0.00707979569388252,-0.0225493932769028
CIV,Côte d'Ivoire,4. Lower middle income,Africa,Western Africa,Côte d'Ivoire,4763.91304347826,44,Côte d'Ivoire,4. Lower middle income,11182895.7479773,1381.25,44,194,1.65321251377534,2.29003461136252,44,1.65321251377534,3.14058659861077,7.04855431506295,3.67805497945868,0.303201806598874,0.965708203299306
GIN,Guinea,5. Low income,Africa,Western Africa,Guinea,359.142857142857,4,Guinea,5. Low income,6532713.99816574,742.916666666667,6,9,0.845098040014257,1,6,0.845098040014257,2.87152428872624,6.81509371169909,2.55647480566219,-0.164303487269554,-0.523312269365222
GNB,Guinea-Bissau,5. Low income,Africa,Western Africa,Guinea-Bissau,14.3870967741935,5,Guinea-Bissau,5. Low income,812482.210351879,625.416666666667,5,6,0.778151250383644,0.845098040014257,5,0.778151250383644,2.79686330419847,5.90981439521784,1.18715668520584,0.248911253858095,0.792790921797798
LBR,Liberia,5. Low income,Africa,Western Africa,Liberia,938.645161290323,4,Liberia,5. Low income,6555289.5083401,459.166666666667,4,8,0.698970004336019,0.954242509439325,4,0.698970004336019,2.66291515625562,6.81659194291754,2.97296388169842,-0.329649523399742,-1.04994509278105
SLE,Sierra Leone,5. Low income,Africa,Western Africa,Sierra Leone,344.129032258065,1,Sierra Leone,5. Low income,3374908.25822756,670.416666666667,1,3,0.301029995663981,0.602059991327962,1,0.301029995663981,2.82699211759642,6.52826210037272,2.53798149368483,-0.628722540396192,-2.00250295890565
BFA,Burkina Faso,5. Low income,Africa,Western Africa,Burkina Faso,552,9,Burkina Faso,5. Low income,896841.134968089,592.916666666667,10,42,1.04139268515822,1.63346845557959,10,1.04139268515822,2.77372551274933,5.95271600386242,2.7427251313047,0.215425366282445,0.686137215841007
CAF,Central African Republic,5. Low income,Africa,Middle Africa,Central African Republic,20.84375,6,Central African Republic,5. Low income,30526619.6856847,401.666666666667,6,132,0.845098040014257,2.12385164096709,6,0.845098040014257,2.60494567956545,7.48467873031275,1.33932719742578,-0.00592666319620086,-0.0188766265312369
COG,Republic of the Congo,4. Lower middle income,Africa,Middle Africa,Congo,206.967741935484,6,Republic of the Congo,4. Lower middle income,24355026.991186,2004.16666666667,8,44,0.954242509439325,1.65321251377534,8,0.954242509439325,3.30215047641027,7.38658863304187,2.31799597637683,-0.259843053006356,-0.827609078828974
GAB,Gabon,3. Upper middle income,Africa,Middle Africa,Gabon,254.818181818182,9,Gabon,3. Upper middle income,22281356.619388,6377.08333333333,13,455,1.14612803567824,2.65896484266444,13,1.14612803567824,3.80469018925162,7.34794164918777,2.4079314079405,-0.220456449962576,-0.702161390749093
GNQ,Equatorial Guinea,2. High income: nonOECD,Africa,Middle Africa,Equatorial Guinea,29.1935483870968,2,Equatorial Guinea,2. High income: nonOECD,2148926.82074017,6040.83333333333,2,6,0.477121254719662,0.845098040014257,2,0.477121254719662,3.78116874089556,6.33222182843668,1.47991415490383,-0.482923522474483,-1.53812806213516
ZMB,Zambia,4. Lower middle income,Africa,Eastern Africa,Zambia,5519.43859649123,22,Zambia,4. Lower middle income,19727956.098272,1077.08333333333,24,112,1.39794000867204,2.05307844348342,24,1.39794000867204,3.03265233210122,7.29508211480701,3.74197358361125,0.0123091873626306,0.0392051859630467
MWI,Malawi,5. Low income,Africa,Eastern Africa,Malawi,1352.2,14,Malawi,5. Low income,1906871.52949887,497.916666666667,17,83,1.25527250510331,1.92427928606188,17,1.25527250510331,2.69802801209806,6.28032166232469,3.13136198911594,0.305180426586934,0.972010176150706
MOZ,Mozambique,5. Low income,Africa,Eastern Africa,Mozambique,29180.8064516129,16,Mozambique,5. Low income,22940605.2206708,497.916666666667,22,137,1.36172783601759,2.13987908640124,22,1.36172783601759,2.69802801209806,7.36060489023541,4.46511217267341,-0.0790814846556199,-0.251877254023275
SWZ,Kingdom of eSwatini,4. Lower middle income,Africa,Southern Africa,Eswatini,24076.6388888889,9,Kingdom of eSwatini,4. Lower middle income,460287.367751046,3100,8,81,0.954242509439325,1.91381385238372,8,0.954242509439325,3.49150176623733,5.66302999969222,4.38161389671359,-0.32306808957279,-1.02898299922543
AGO,Angola,3. Upper middle income,Africa,Middle Africa,Angola,1161.17142857143,3,Angola,3. Upper middle income,38815112.3857932,2655.41666666667,6,9,0.845098040014257,1,6,0.845098040014257,3.42429619638937,7.58900085915208,3.06527019431193,-0.589908421426734,-1.87887865233207
